ID,BOLSISTA,SINALIZADOR_INGRESSANTE,ANOS_PM,ANO_PESQUISA,INDE,IAA,IEG,IPS,IDA,IPP,IPV,IAN,INSTITUICAO_ENSINO_ALUNO,FASE,TURMA,PEDRA,PONTO_VIRADA
319,0,0,1,2020,7.183,9.0,9.5,7.5,2.0,7.5,7.417,10.0,Escola Pública,2,B,Ágata,0
321,0,0,1,2020,4.916,4.583,2.0,7.5,2.0,6.406,6.333,10.0,Escola Pública,6,A,Quartzo,0
323,1,0,4,2020,6.053,8.0,9.1,5.0,4.5,2.5,6.417,5.0,Rede Decisão/União,1,B,Quartzo,0
324,0,0,1,2020,8.064,8.75,7.9,7.5,6.667,8.594,8.333,10.0,Escola Pública,6,A,Ametista,0
328,0,1,0,2020,6.859,7.5,4.1,7.5,9.0,7.969,7.208,5.0,Escola Pública,3,M,Ágata,0
329,1,0,3,2020,7.984,7.917,8.6,7.5,7.0,7.969,7.625,10.0,Rede Decisão/União,7,B,Ametista,0
330,0,0,3,2020,7.68,8.0,7.9,7.5,8.5,7.5,8.0,5.0,Escola Pública,1,F,Ametista,0
332,0,0,1,2020,8.258,9.5,9.2,7.5,10.0,7.292,7.444,5.0,Escola Pública,1,H,Ametista,0
335,0,1,0,2020,7.471,8.5,10.0,4.375,9.5,2.5,5.167,10.0,Escola Pública,0,B,Ametista,0
337,1,0,4,2020,8.952,8.333,9.9,10.0,7.0,9.167,9.111,10.0,Rede Decisão/União,5,B,Topázio,1
338,0,0,2,2020,5.913,8.333,2.1,7.5,4.333,7.344,6.542,10.0,Escola Pública,7,A,Quartzo,0
339,0,0,2,2020,8.137,9.167,9.7,7.5,7.333,8.75,8.444,5.0,Escola Pública,3,C,Ametista,0
340,0,0,2,2020,7.595,8.333,9.4,7.5,7.0,8.542,6.889,5.0,Escola Pública,3,C,Ametista,0
341,1,0,2,2020,9.097,9.167,10.0,7.5,9.2,0.0,0.0,10.0,FIAP,8,A,Topázio,0
342,1,0,4,2020,8.134,9.0,9.2,5.625,8.0,5.312,8.5,10.0,Rede Decisão/União,2,B,Ametista,0
343,0,1,0,2020,7.583,7.5,8.1,7.5,8.0,8.125,9.0,2.5,Escola Pública,3,J,Ametista,1
344,0,0,1,2020,4.349,0.0,3.8,5.0,0.0,6.719,7.083,10.0,Escola Pública,6,A,Quartzo,0
345,0,0,1,2020,8.5,8.5,10.0,7.5,10.0,7.5,5.75,10.0,Escola Pública,0,F,Topázio,0
346,0,0,1,2020,8.419,9.0,8.0,7.5,9.5,7.188,7.75,10.0,Escola Pública,1,A,Ametista,0
348,0,0,1,2020,7.792,9.5,10.0,6.25,9.5,2.5,7.833,5.0,Escola Pública,0,D,Ametista,0
349,0,1,0,2020,9.2,9.5,10.0,7.5,10.0,10.0,10.0,5.0,Escola Pública,0,C,Topázio,1
353,0,0,1,2020,7.166,10.0,8.3,6.25,6.0,7.917,6.944,5.0,Escola Pública,2,G,Ágata,0
354,0,0,4,2020,4.656,9.167,3.4,4.375,0.0,7.969,6.625,5.0,Escola Pública,4,F,Quartzo,0
355,0,0,1,2020,6.408,7.5,8.1,5.0,4.0,7.708,7.333,5.0,Escola Pública,1,N,Ágata,0
359,0,0,1,2020,8.175,8.5,9.3,7.5,7.0,7.708,7.722,10.0,Escola Pública,2,F,Ametista,0
361,0,0,1,2020,5.668,9.0,4.3,5.625,0.0,8.125,7.667,10.0,Escola Pública,1,F,Quartzo,0
364,0,0,1,2020,7.813,9.0,9.9,4.375,7.5,5.625,7.167,10.0,Escola Pública,1,B,Ametista,0
365,1,0,3,2020,8.396,9.583,9.6,5.0,6.667,8.594,9.125,10.0,Rede Decisão/União,5,G,Ametista,1
367,0,0,4,2020,8.326,9.167,9.4,7.5,6.667,8.125,8.167,10.0,Escola Pública,3,F,Ametista,0
368,1,0,1,2020,8.695,8.75,10.0,7.5,8.3,0.0,0.0,10.0,UNISA,8,A,Ametista,0
